			Daily Data as of 05/17/2022							Yield % as of 04/30/2022								
Name	Symbol	Share Class	Daily	Daily Change $	Market Price $	Market Price Daily	Premium / Discount %	Distribution Rate % (NAV)	Market Price Distribution Rate	Distribution Rate % (NAV)	30-Day SEC Yield %	30-Day SEC	7-Day SEC Yield**	Latest Distribution ($ / Share)	Distribution (YTD)	Latest Dividend Distribution Payable Date	Latest Dividend Distribution Record Date	Latest Dividend Distribution Ex-Dividend Date
			NAV $			Change $						Yield %						
												(Unsubsidized)						
Access Income Fund	PAXS	-	18.37	-0.03	16.8	0.31	-8.55	7.62	8.34	7.39	-	-	-	0.1167	0.3501	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
California Municipal Income Fund	PCQ	-	10.71	-0.07	14.71	-0.31	37.35	7.28	5.3	6.87	-	-	-	0.065	0.325	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
California Municipal Income Fund II	PCK	-	6.69	-0.06	6.7	-0.06	0.15	5.74	5.73	5.39	-	-	-	0.032	0.16	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
California Municipal Income Fund III	PZC	-	7.9	-0.05	8.06	-0.16	2.03	5.77	5.66	5.46	-	-	-	0.038	0.19	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
Corporate & Income Opportunity Fund	PTY	-	12.18	0.02	14.22	0.14	16.75	11.7	10.03	11.25	-	-	-	0.1188	0.594	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
Corporate & Income Strategy Fund	PCN	-	12.45	0	14.26	0.16	14.54	10.84	9.47	10.42	-	-	-	0.1125	0.5625	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
Dynamic Income Fund	PDI	-	21.27	-0.02	21.76	0.33	2.3	12.44	12.16	11.99	-	-	-	0.2205	1.1025	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
Dynamic Income Opportunities Fund	PDO	-	16.75	-0.02	15.32	0.39	-8.54	8.48	9.27	8.17	-	-	-	0.1184	0.592	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
Energy and Tactical Credit Opportunities Fund	NRGX	-	17.75	0.39	14.66	0.22	-17.41	4.96	6	5.15	-	-	-	0.22	0.22	4/1/22	3/11/22	3/10/22
														as of 03/10/2022	as of 03/10/2022			
Global StocksPLUS® & Income Fund	PGP	-	8.17	0.08	8.23	0.16	0.73	10.13	10.06	9.64	-	-	-	0.069	0.345	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
High Income Fund	PHK	-	5.08	0	5.68	0	11.81	11.34	10.14	10.95	-	-	-	0.048	0.24	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
Income Strategy Fund	PFL	-	9.02	-0.01	9.51	0.34	5.43	10.83	10.27	10.44	-	-	-	0.0814	0.407	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
Income Strategy Fund II	PFN	-	7.91	-0.02	8.05	0.25	1.77	10.89	10.7	10.49	-	-	-	0.0718	0.359	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
Municipal Income Fund	PMF	-	10.02	-0.12	10.65	-0.19	6.29	6.47	6.08	6.04	-	-	-	0.054	0.27	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
Municipal Income Fund II	PML	-	9.28	-0.1	10.65	-0.21	14.76	7.63	6.65	7.12	-	-	-	0.059	0.295	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
Municipal Income Fund III	PMX	-	8.52	-0.1	8.82	-0.18	3.52	6.48	6.26	6.03	-	-	-	0.046	0.23	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
New York Municipal Income Fund	PNF	-	9.13	-0.08	8.71	0.06	-4.6	5.52	5.79	5.16	-	-	-	0.042	0.21	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
New York Municipal Income Fund II	PNI	-	8.73	-0.07	8.44	-0.23	-3.32	5.5	5.69	5.14	-	-	-	0.040045	0.200225	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
New York Municipal Income Fund III	PYN	-	7.07	-0.05	7.94	-0.16	12.31	6.02	5.36	5.64	-	-	-	0.03549	0.17745	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
"PCM Fund, Inc."	PCM	-	8.25	-0.01	10.31	0.23	24.97	11.64	9.31	11.24	-	-	-	0.08	0.4	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
"Strategic Income Fund, Inc."	RCS	-	5.15	0	5.37	0.08	4.27	11.88	11.4	11.68	-	-	-	0.051	0.255	6/1/22	5/12/22	5/11/22
														as of 05/11/2022	as of 05/11/2022			
																		
"* The since inception date for the PIMCO California Municipal Intermediate Value Fund, PIMCO California Municipal Opportunistic Value Fund, PIMCO National Municipal Intermediate Value Fund, PIMCO National Municipal Opportunistic Value Fund, PIMCO RAE Emerging Markets Fund, PIMCO RAE US Fund and PIMCO RAE US Small Fund is the performance inception date. Performance presented prior to 18 March 2019 and 5 June 2015 represents the historical track record of the predecessor fund and sub-adviser for the PIMCO Gurtin and PIMCO RAE Funds, respectively, and should not be interpreted as the actual historical performance of PIMCO. "																		
																		
																		
**The SEC Yield data represents the 30-Day SEC yield except for the PIMCO Government Money Market Fund which represents the 7-Day SEC Yield. The 30-Day SEC yield is an annualized yield based on the most recent 30 day period. The 7-Day SEC yield is an annualized yield based on the most recent 7 day period. The yield quotation more closely reflects the current earnings of the fund than the total return quotation. The Subsidized yield includes contractual expense reimbursements and it would be lower without those reimbursements. The Unsubsidized 30 Day SEC yield excludes contractual expense reimbursements.																		
																		
"***Distribution Rate is shown for Interval and Close-End Funds, Distribution Yield is shown for Mutual Funds and ETFs. "																		
																		
****The Net Expense Ratio reflects a contractual fee waiver and/or expense reduction. Click on the fund name and refer to the Fees & Expenses section for additional important information.																		
																		
"Investors should consider the investment objectives, risks, charges and expenses of the funds carefully before investing. This and other information are contained in the Fund’s prospectus, which may be obtained by contacting your PIMCO representative. Please read the prospectus carefully before you invest or send money."																		
																		
																		
"Performance quoted represents past performance. Past performance is not a guarantee or a reliable indicator of future results. Investment return and the principal value of an investment will fluctuate. Shares may be worth more or less than original cost when redeemed. Current performance may be lower or higher than performance shown. For performance current to the most recent month-end, visit www.pimco.com or call (888) 87-PIMCO for PIMCO Funds. For mutual fund Class A shares the maximum offering price (MOP) returns take into account the maximum initial sales charge. For mutual Fund Class C shares the maximum offering price (MOP) returns take into the account the contingent deferred sales charge (CDSC). This charge may apply to shares redeemed during the first year of ownership."																		
																		
"You could lose money by investing in the PIMCO Government Money Market Fund. Although the Fund seeks to preserve the value of your investment at $1.00 per share, it cannot guarantee it will do so. An investment in the Fund is not insured or guaranteed by the Federal Deposit Insurance Corporation or any other government agency. The Fund's sponsor has no legal obligation to provide financial support to the Fund, and you should not expect that the sponsor will provide financial support to the Fund at any time. "																		
																		
Statutory Prospectus Documents																		
																		
Mutual Funds																		
																		
Asset Allocation Funds																		
Bond Funds																		
Credit Bond Funds																		
Equity Series																		
Equity-Related Strategy Funds																		
ESG Income Fund																		
International Bond Funds																		
Municipal Value Funds																		
Real Return Strategy Funds																		
RealPath Blend Funds																		
Short Duration Strategy Funds																		
Tax Efficient Strategy																		
TRENDS Managed Futures Strategy																		
																		
ETF																		
																		
Actively Managed ETF																		
Index ETF																		
RAFI Dynamic Multi-Factor																		
Municipal Income Opportunities Active Exchange-Traded Fund																		
																		
Closed End Funds																		
																		
Corporate & Income Opportunity Fund																		
Corporate & Income Strategy Fund																		
Dynamic Income Fund																		
Income Strategy Fund II																		
Income Strategy Fund																		
																		
Managed Accounts																		
																		
FISH																		
																		
Interval Funds																		
																		
Flexible Credit Income Fund 																		
Flexible Municipal Income Fund 																		
																		
"The performance figures presented reflect the total return performance, unless otherwise noted, and reflect changes in share price, reinvestment of dividends, and capital gain distributions. NAV returns reflect the deduction of management fees and expenses. NAV and Market Price returns do not reflect broker sales charges or commissions and would be lower if they were deducted. All periods longer than one year are annualized. Periods less than one year are cumulative. "																		
																		
"Investments made by a Fund and the results achieved by a Fund are not expected to be the same as those made by any other PIMCO-advised Fund, including those with a similar name, investment objective or policies. A new or smaller Fund’s performance may not represent how the Fund is expected to or may perform in the long-term. New Funds have limited operating histories for investors to evaluate and new and smaller Funds may not attract sufficient assets to achieve investment and trading efficiencies. A Fund may be forced to sell a comparatively large portion of its portfolio to meet significant shareholder redemptions for cash, or hold a comparatively large portion of its portfolio in cash due to significant share purchases for cash, in each case when the Fund otherwise would not seek to do so, which may adversely affect performance."																		
																		
																		
																		
"Differences in the Fund’s performance versus the index and related attribution information with respect to particular categories of securities or individual positions may be attributable, in part, to differences in the pricing methodologies used by the Fund and the index."																		
																		
																		
																		
